"2012/04/01_19:58,""-"",""178.248.85.67/zeus/config.bin"",""67.85.248.178.sta.211.ru."",""zeus config file"",""-"",""41794""";
"2012/04/01_19:58,""-"",""178.248.85.67/zeus/gate.php"",""67.85.248.178.sta.211.ru."",""zeus drop zone"",""-"",""41794""";
"2012/04/11_20:36,""-"",""62.109.29.101/a/xwy.php?i=15"",""geovanne.fvds.ru."",""Zeus trojan"",""-"",""29182""";
"2012/04/12_15:12,""-"",""69.194.192.229/q.php?f=7245d&e=2"",""-"",""Zeus trojan"",""-"",""14670""";
"2012/04/30_16:15,""-"",""91.223.223.244/c.bin"",""91.223.223.244.hostpro.com.ua."",""zeus config file"",""-"",""21219""";
"2012/04/30_16:15,""-"",""91.223.223.244/b.php"",""91.223.223.244.hostpro.com.ua."",""zeus drop zone"",""-"",""21219""";
"2012/04/30_16:15,""-"",""188.40.168.128/c.bin"",""static.128.168.40.188.clients.your-server.de."",""zeus config file"",""-"",""24940""";
"2012/04/30_16:15,""-"",""188.40.168.128/b.php"",""static.128.168.40.188.clients.your-server.de."",""zeus drop zone"",""-"",""24940""";
"2012/06/19_07:03,""www.panazan.ro/online/libraries/pattemplate/patTemplate/Modifier/HTML/im/o/z/3pingo/cfg.bin"",""89.42.216.47"",""server20.whmpanels.com."",""zeus config file"",""-"",""5606""";
"2012/06/19_07:03,""www.panazan.ro/online/libraries/pattemplate/patTemplate/Modifier/HTML/im/o/z/3pingo/gate.php"",""89.42.216.47"",""server20.whmpanels.com."",""zeus drop zone"",""-"",""5606""";
"2012/06/26_05:59,""ns1.updatesdns.org/static.htmls"",""46.17.102.124"",""node-46.17.102.124.reverse.x4b.org."",""zeus config file"",""cao yang / zxhxnjsgh@126.com"",""49335""";
"2012/06/28_21:29,""-"",""91.223.82.58/~rivernig/19/config.bin"",""-"",""Zeus config file"",""-"",""51430""";
"2012/06/28_21:29,""-"",""91.223.82.58/~rivernig/19/gate.php"",""-"",""Zeus drop zone"",""-"",""51430""";
"2012/07/03_13:43,""-"",""69.162.82.26/version2/webber/1/config.bin"",""26-82-162-69.static.reverse.lstn.net."",""Zeus config file"",""-"",""46475""";
"2012/07/03_13:43,""-"",""69.162.82.26/version2/webber/1/gate.php"",""26-82-162-69.static.reverse.lstn.net."",""Zeus drop zone"",""-"",""46475""";
"2012/10/26_23:28,""-"",""69.55.49.159/config.bin"",""-"",""Zeus config file"",""-"",""46652""";
"2012/10/26_23:28,""-"",""69.55.49.159/gate.php"",""-"",""Zeus drop zone"",""-"",""46652""";
"2014/09/02_09:11,""alsoknowsit.com/wp-files/config.bin"",""80.250.114.239"",""kvm.arconet.ee."",""Zeus config file"",""-"",""39038""";
;
;
;http://www.malwaredomainlist.com/zeus.csv.php
